# K filter curve @ T=90K 
#
# Filter transmission only (no sky extinction or telecope optics)
#
# Wavelength (Ang)       Transmission
4970.0   2.66825e-05
4989.88  -2.2829e-05
5009.76  9.79493e-05
5029.64  -0.0001500235
5049.52  1.50599e-05
5069.4   -9.59903e-05
5089.28  -7.75e-06
5109.16  -8.21e-06
5129.04  -4.78464e-05
5148.92  -3.73631e-05
5168.8   5.44385e-05
5188.68  5.07415e-05
5208.56  1.79691e-05
5228.44  -6.40896e-05
5248.32  1.11137e-05
5268.2   5.98623e-05
5288.08  9.26607e-05
5307.96  5.31246e-05
5327.84  -2.95818e-05
5347.72  6.09278e-05
5367.6   4.95e-06
5387.48  -2.72e-06
5407.36  3.39538e-05
5427.24  4.18e-06
5447.12  -2.93703e-05
5467.0   9.65e-06
5486.88  -2.35075e-05
5506.76  5.43028e-05
5526.64  2.13077e-05
5546.52  -2.25214e-05
5566.4   2.7473e-05
5586.28  -1.08021e-05
5606.16  -1.73175e-05
5626.04  1.04298e-05
5645.92  -7.44925e-05
5665.8   3.12e-06
5685.68  -4.57618e-05
5705.56  -2.58539e-05
5725.44  -9.52038e-05
5745.32  -6.42884e-05
5765.2   -3.14157e-05
5785.08  2.23374e-05
5804.96  -7.08906e-05
5824.84  2.33143e-05
5844.72  8.0546e-05
5864.6   -4.12907e-05
5884.48  1.422e-05
5904.36  -3.13557e-05
5924.24  4.37956e-05
5944.12  3.39875e-05
5964.0   -1.7491e-05
5983.88  1.65583e-05
6003.76  -0.0001063781
6023.64  4.58e-06
6043.52  -8.38e-06
6063.4   0.000119771
6083.28  3.66391e-05
6103.16  -4.11443e-05
6123.04  -4.71024e-05
6142.92  -8.13063e-05
6162.8   -1.24232e-05
6182.68  9.89e-07
6202.56  -9.22562e-05
6222.44  -3.57743e-05
6242.32  1.1212e-05
6262.2   -4.37e-06
6282.08  1.70072e-05
6301.96  -7.51e-06
6321.84  -3.64263e-05
6341.72  -2.65755e-05
6361.6   -6.89146e-05
6381.48  2.30465e-05
6401.36  1.2091e-05
6421.24  6.77588e-05
6441.12  -1.93467e-05
6461.0   6.31569e-05
6480.88  1.15651e-05
6500.76  -3.07e-06
6520.64  9.11e-07
6540.52  -9.60503e-05
6560.4   2.74e-06
6580.28  2.44797e-05
6600.16  -1.53509e-05
6620.04  1.84354e-05
6639.92  -1.52487e-05
6659.8   3.59169e-05
6679.68  1.65493e-05
6699.56  2.8822e-05
6719.44  4.65859e-05
6739.32  9.24555e-05
6759.2   -5.64644e-05
6779.08  4.47968e-05
6798.96  -1.07676e-05
6818.84  -8.61e-06
6838.72  -4.41014e-05
6858.6   -5.74654e-05
6878.48  -4.25932e-05
6898.36  -2.72e-06
6918.24  -3.36704e-05
6938.12  5.75999e-05
6958.0   1.04998e-05
6977.88  1.41905e-05
6997.76  -1.37682e-05
7017.64  2.4646e-05
7037.52  -9.02e-06
7057.4   -2.13296e-05
7077.28  -1.51448e-05
7097.16  3.56485e-05
7117.04  -9.90924e-05
7136.92  1.87023e-05
7156.8   -1.5093e-05
7176.68  7.13986e-05
7196.56  -7.45e-06
7216.44  2.25932e-05
7236.32  -1.81524e-05
7256.2   2.33449e-05
7276.08  -1.14833e-05
7295.96  6.21714e-05
7315.84  5.96182e-05
7335.72  -3.28564e-05
7355.6   -4.34251e-05
7375.48  5.18395e-05
7395.36  2.28704e-05
7415.24  3.53547e-05
7435.12  -2.89964e-05
7455.0   -2.22531e-05
7474.88  -7.60328e-05
7494.76  -5.46646e-05
7514.64  4.58e-06
7534.52  1.12151e-05
7554.4   -6.65489e-05
7574.28  -5.38e-06
7594.16  -1.63701e-05
7614.04  -2.72981e-05
7633.92  8.97e-06
7653.8   4.62e-06
7673.68  4.15203e-05
7693.56  8.96866e-05
7713.44  0.0001003686
7733.32  2.56549e-05
7753.2   3.63e-06
7773.08  4.09307e-05
7792.96  -5.42559e-05
7812.84  -6.08713e-05
7832.72  -3.43823e-05
7852.6   2.73013e-05
7872.48  -2.45e-06
7892.36  -1.93102e-05
7912.24  0.0001004327
7932.12  -9.50547e-05
7952.0   1.16056e-05
7971.88  -3.051e-05
7991.76  -2.05814e-05
8011.64  6.4371e-05
8031.52  -1.89939e-05
8051.4   6.72052e-05
8071.28  6.52829e-05
8091.16  -2.50125e-05
8111.04  -5.46007e-05
8130.92  -9.84e-07
8150.8   5.36653e-05
8170.68  2.51377e-05
8190.56  -3.02e-06
8210.44  -1.53305e-05
8230.32  -8.19575e-05
8250.2   -0.0002539246
8270.08  -0.0003072413
8289.96  -0.0001990174
8309.84  -0.000454714
8329.72  -0.0005736475
8349.6   -0.0002370483
