#H	G0203
#scanned warm
#Wavelength (Ang) Transmission
8000.0  0.0001766 
8010.0  0.00014067
8020.0  0.00016821
8030.0  0.0001984 
8040.0  0.00018791
8050.0  0.0001755 
8060.0  0.00018483
8070.0  0.00012731
8080.0  0.0002008 
8090.0  0.00017391
8100.0  0.00018852
8110.0  0.0001502 
8120.0  0.00011234
8130.0  0.00017687
8140.0  0.00013707
8150.0  0.00012386
8160.0  9.3747e-05
8170.0  0.00018735
8180.0  0.0001278 
8190.0  0.00016387
8200.0  0.00010443
8210.0  0.00015263
8220.0  0.00017974
8230.0  0.00011021
8240.0  0.00021403
8250.0  0.00012767
8260.0  0.00017986
8270.0  0.00014614
8280.0  0.00015674
8290.0  0.00016409
8300.0  0.00017087
8310.0  0.00010762
8320.0  0.00020682
8330.0  0.00011155
8340.0  0.00015029
8350.0  0.0001616 
8360.0  0.00012847
8370.0  0.00017376
8380.0  0.00019465
8390.0  0.00014013
8400.0  0.0001595 
8410.0  0.00016447
8420.0  0.00015745
8430.0  0.00015928
8440.0  0.00017758
8450.0  0.00011447
8460.0  0.00020017
8470.0  7.5778e-05
8480.0  0.00014271
8490.0  0.00012756
8500.0  0.00017262
8510.0  0.00016842
8520.0  0.00013235
8530.0  0.00019317
8540.0  0.0001083 
8550.0  0.00011437
8560.0  0.00014939
8570.0  0.00021008
8580.0  0.00014716
8590.0  0.00018344
8600.0  0.00022996
8610.0  0.0001195 
8620.0  0.00012208
8630.0  0.00019727
8640.0  0.0001697 
8650.0  0.00017523
8660.0  0.00014391
8670.0  0.00023051
8680.0  0.00014597
8690.0  0.00013586
8700.0  0.00019931
8710.0  0.00023132
8720.0  0.00018305
8730.0  0.0001886 
8740.0  0.00021114
8750.0  0.00012847
8760.0  0.00010465
8770.0  0.00023095
8780.0  0.00020525
8790.0  0.00024071
8800.0  0.00014115
8810.0  0.00013515
8820.0  0.00016443
8830.0  0.00019764
8840.0  9.1386e-05
8850.0  0.00017961
8860.0  0.00014568
8870.0  0.00015457
8880.0  0.00014401
8890.0  0.0002177 
8900.0  0.00022222
8910.0  0.00012439
8920.0  0.00015331
8930.0  0.00020275
8940.0  0.00014373
8950.0  0.00014042
8960.0  0.00015689
8970.0  0.0001399 
8980.0  0.0001972 
8990.0  0.00014238
9000.0  0.00019134
9010.0  0.00012786
9020.0  0.00010935
9030.0  0.00018468
9040.0  0.00014856
9050.0  0.00011067
9060.0  0.00013042
9070.0  0.00012836
9080.0  0.00018525
9090.0  0.00012936
9100.0  0.0001858 
9110.0  0.00019028
9120.0  0.00014854
9130.0  0.00015084
9140.0  0.00017287
9150.0  0.00011125
9160.0  0.00020808
9170.0  0.00018061
9180.0  0.00013805
9190.0  0.00021357
9200.0  0.00012061
9210.0  0.00022693
9220.0  0.00014253
9230.0  0.00016653
9240.0  0.00012485
