#J	G0202	
#scanned warm
#Wavelength (Ang) transmission
8000.0  0.00015067
8010.0  6.8735e-05
8020.0  0.00015446
8030.0  0.00018627
8040.0  0.00013183
8050.0  0.00014945
8060.0  0.00011287
8070.0  0.00012726
8080.0  0.00013222
8090.0  0.00016092
8100.0  0.00015047
8110.0  0.00016761
8120.0  0.00012745
8130.0  0.00017781
8140.0  0.00013379
8150.0  0.00010639
8160.0  0.00012364
8170.0  0.00018736
8180.0  0.00010191
8190.0  0.0001764 
8200.0  8.7243e-05
8210.0  0.00013544
8220.0  0.00016297
8230.0  0.00013574
8240.0  0.00018425
8250.0  0.00013706
8260.0  0.0001486 
8270.0  0.00019318
8280.0  0.00015623
8290.0  0.00014738
8300.0  0.00014083
8310.0  0.0001745 
8320.0  0.00016578
8330.0  0.00010577
8340.0  0.00010818
8350.0  0.00016483
8360.0  0.00015107
8370.0  0.00016494
8380.0  0.00020261
8390.0  0.00017424
8400.0  0.00013007
8410.0  0.00011373
8420.0  0.00016942
8430.0  0.0001813 
8440.0  0.00016039
8450.0  0.00011429
8460.0  0.00021657
8470.0  9.3643e-05
8480.0  0.00015655
8490.0  0.00015668
8500.0  0.00018558
8510.0  0.00015042
8520.0  0.00011592
8530.0  0.00017602
8540.0  0.00012133
8550.0  0.00013148
8560.0  0.00011924
8570.0  0.00016189
8580.0  0.00010076
8590.0  0.0001528 
8600.0  0.00020831
8610.0  0.00011094
8620.0  7.846e-05 
8630.0  0.00018462
8640.0  0.00014846
8650.0  0.00011479
8660.0  0.00011779
8670.0  0.00020126
8680.0  0.00015758
8690.0  0.00016655
8700.0  0.00016987
8710.0  0.00015369
8720.0  0.00016573
8730.0  0.00015029
8740.0  0.00015321
8750.0  0.00015105
8760.0  7.4202e-05
8770.0  0.00017903
8780.0  0.00018356
8790.0  0.00018971
8800.0  0.0001051 
8810.0  0.0001313 
8820.0  0.00018176
8830.0  0.00014216
8840.0  8.2614e-05
8850.0  0.0001756 
8860.0  0.00014453
8870.0  0.00013789
8880.0  0.00013054
8890.0  0.00014987
8900.0  0.00020895
8910.0  9.8545e-05
8920.0  0.00018416
8930.0  0.00018921
8940.0  0.00013139
8950.0  0.00012761
8960.0  0.00018303
8970.0  0.00014857
8980.0  0.00015789
8990.0  6.4711e-05
9000.0  0.00014759
9010.0  0.00010674
9020.0  0.00015309
9030.0  0.00014573
9040.0  0.0001833 
9050.0  0.0001277 
9060.0  0.0001694 
9070.0  0.00012423
9080.0  0.00019376
9090.0  0.00016728
9100.0  0.00019442
9110.0  0.00013053
9120.0  0.000131  
9130.0  0.00011196
9140.0  0.00017274
9150.0  0.00014549
9160.0  0.00014316
9170.0  0.00014646
9180.0  0.0001554 
9190.0  0.00011121
9200.0  9.0147e-05
9210.0  0.00021408
9220.0  0.00012951
9230.0  0.00016657
9240.0  0.00015926
9250.0  0.00016218
9260.0  0.00012032
9270.0  0.00014945
9280.0  0.0001158 
9290.0  0.00014974
9300.0  0.00013289
9310.0  0.00027004
9320.0  0.00014234
9330.0  0.00010967
9340.0  0.00016521
9350.0  0.00013875
9360.0  0.00012005
9370.0  0.00015376
9380.0  0.00012515
9390.0  0.00016547
9400.0  0.00015475
9410.0  0.0001362 
9420.0  0.00014065
9430.0  0.00016575
9440.0  0.00010758
9450.0  0.00012257
9460.0  0.00014208
9470.0  0.00015724
9480.0  0.00015467
9490.0  0.00011093
9500.0  0.00012894
9510.0  0.00016915
9520.0  0.00014582
9530.0  0.00015842
9540.0  0.00014176
9550.0  0.00015111
9560.0  0.00018718
9570.0  0.000139  
9580.0  0.00019248
9590.0  0.00022928
9600.0  0.00014525
9610.0  0.00017952
9620.0  0.0001598 
9630.0  0.00021155
9640.0  9.3941e-05
9650.0  0.0002094 
9660.0  0.00017112
9670.0  0.00014339
9680.0  0.00016445
9690.0  0.00014282
