#K	G0204
#scanned warm
#Wavelength (Ang) transmission
8000.0  6.9459e-05 
8010.0  5.4833e-05 
8020.0  8.8641e-05 
8030.0  6.8569e-05 
8040.0  7.3891e-05 
8050.0  7.2602e-05 
8060.0  9.4705e-05 
8070.0  7.1657e-05 
8080.0  0.00012052 
8090.0  7.7586e-05 
8100.0  8.4235e-05 
8110.0  7.3086e-05 
8120.0  9.6276e-05 
8130.0  3.3684e-05 
8140.0  2.6018e-05 
8150.0  9.3243e-05 
8160.0  9.9014e-05 
8170.0  3.4396e-05 
8180.0  0.00010945 
8190.0  8.9735e-05 
8200.0  8.6859e-05 
8210.0  9.3918e-05 
8220.0  4.7848e-05 
8230.0  0.00010155 
8240.0  5.8463e-05 
8250.0  7.2382e-05 
8260.0  7.9068e-05 
8270.0  0.00011534 
8280.0  9.9258e-05 
8290.0  7.2248e-05 
8300.0  2.8128e-05 
8310.0  7.7746e-05 
8320.0  9.9489e-05 
8330.0  6.9387e-05 
8340.0  0.00015973 
8350.0  0.00010692 
8360.0  4.1226e-05 
8370.0  4.8654e-05 
8380.0  0.0001043  
8390.0  5.9304e-05 
8400.0  4.182e-05  
8410.0  9.6487e-05 
8420.0  7.4389e-05 
8430.0  0.00011191 
8440.0  3.6208e-05 
8450.0  7.0777e-05 
8460.0  7.0671e-05 
8470.0  8.9317e-05 
8480.0  9.9898e-05 
8490.0  9.5148e-05 
8500.0  0.00011331 
8510.0  9.2954e-05 
8520.0  0.00011876 
8530.0  6.8602e-05 
8540.0  5.5031e-05 
8550.0  1.925e-05  
8560.0  0.00011387 
8570.0  9.8634e-05 
8580.0  5.6907e-05 
8590.0  4.7085e-05 
8600.0  9.9041e-05 
8610.0  0.00012941 
8620.0  0.00010542 
8630.0  0.00011705 
8640.0  5.5783e-05 
8650.0  0.00012606 
8660.0  0.00013864 
8670.0  0.00013017 
8680.0  9.6447e-05 
8690.0  8.2573e-05 
8700.0  4.2696e-05 
8710.0  0.00010435 
8720.0  7.3429e-05 
8730.0  9.246e-06  
8740.0  3.0871e-05 
8750.0  7.8185e-05 
8760.0  9.5232e-05 
8770.0  4.8056e-05 
8780.0  7.7682e-05 
8790.0  6.0654e-05 
8800.0  0.0001273  
8810.0  5.1899e-05 
8820.0  1.199e-05  
8830.0  2.2427e-05 
8840.0  7.3478e-05 
8850.0  6.1078e-05 
8860.0  7.8958e-05 
8870.0  0.0001345  
8880.0  6.8942e-05 
8890.0  5.7104e-05 
8900.0  7.5019e-05 
8910.0  0.00011466 
8920.0  0.00011965 
8930.0  3.8108e-06 
8940.0  0.00011697 
8950.0  0.00011808 
8960.0  3.9673e-05 
8970.0  0.00013668 
8980.0  4.5704e-05 
8990.0  0.00012921 
9000.0  0.00010753 
9010.0  5.7161e-05 
9020.0  0.00010967 
9030.0  0.00015518 
9040.0  0.00013047 
9050.0  6.5773e-05 
9060.0  0.00013077 
9070.0  9.471e-05  
9080.0  5.1756e-05 
9090.0  0.00010341 
9100.0  5.7311e-05 
9110.0  0.00010149 
9120.0  9.7968e-05 
9130.0  3.7936e-05 
9140.0  9.8597e-05 
9150.0  8.5651e-05 
9160.0  8.4812e-05 
9170.0  9.3544e-05 
9180.0  8.3161e-05 
9190.0  8.4499e-05 
9200.0  7.9388e-05 
9210.0  0.00010265 
9220.0  5.5276e-05 
9230.0  0.00013228 
9240.0  5.8437e-05 
9250.0  6.8694e-05 
9260.0  4.7783e-05 
9270.0  5.4266e-05 
9280.0  4.4962e-05 
9290.0  8.9117e-05 
9300.0  0.00015225 
9310.0  0.00010251 
9320.0  8.9439e-05 
9330.0  0.00018397 
9340.0  6.1824e-05 
9350.0  0.00014547 
9360.0  9.8104e-05 
9370.0  0.00016708 
9380.0  5.3019e-05 
9390.0  0.00014185 
9400.0  7.8105e-05 
9410.0  8.0981e-05 
9420.0  0.00010344 
9430.0  5.9523e-05 
9440.0  3.1879e-05 
9450.0  0.0001287  
9460.0  9.528e-05  
9470.0  0.00011932 
9480.0  3.4231e-05 
9490.0  0.00011474 
9500.0  3.1702e-05 
9510.0  0.00011521 
9520.0  0.00012466 
9530.0  9.3575e-05 
9540.0  7.3292e-05 
9550.0  9.3562e-05 
9560.0  0.0001029  
9570.0  3.9514e-05 
9580.0  6.9182e-05 
9590.0  8.8878e-05 
9600.0  0.00010348 
9610.0  7.161e-05  
9620.0  7.9165e-05 
9630.0  9.3513e-05 
9640.0  0.00010743 
9650.0  7.6372e-05 
9660.0  8.6786e-05 
9670.0  5.9491e-05 
9680.0  0.00011015 
9690.0  6.4636e-05 
9700.0  0.0001031  
9710.0  0.00012767 
9720.0  8.8862e-05 
9730.0  5.0655e-05 
9740.0  9.9671e-05 
9750.0  0.00014229 
9760.0  0.00012344 
9770.0  5.1159e-05 
9780.0  0.00010278 
9790.0  4.7026e-05 
