# 53w091 spectrum (fig 5 from astro-ph/9702233 digitized by Sandra Savaglio)
# wavelen/A     f_lam ergs/s/cm2/A
# (observed wavelength/flux)
        4800    0.009991
        4800     0.01511
        4804     0.01511
        4804    0.004868
        4805    0.004868
        4805     0.01204
        4809     0.01204
        4809     0.07045
        4811     0.07045
        4811      0.1207
        4812      0.1207
        4812      0.1268
        4816      0.1268
        4816      0.1207
        4818      0.1207
        4818      0.1073
        4819      0.1073
        4819      0.1258
        4823      0.1258
        4823      0.1196
        4825      0.1196
        4825      0.1125
        4828      0.1125
        4828     0.09607
        4830     0.09607
        4830     0.01716
        4834     0.01716
        4834    -0.02997
        4835    -0.02997
        4835    -0.03202
        4837    -0.03202
        4837    -0.02997
        4841    -0.02997
        4841     -0.0105
        4842     -0.0105
        4842     -0.0187
        4844     -0.0187
        4844   -0.007429
        4848   -0.007429
        4848     0.01307
        4849     0.01307
        4849     0.03458
        4853     0.03458
        4853      0.0725
        4855      0.0725
        4855     0.08582
        4857     0.08582
        4857     0.06533
        4860     0.06533
        4860     0.05918
        4862     0.05918
        4862     0.06123
        4865     0.06123
        4865     0.07455
        4867     0.07455
        4867      0.0684
        4869      0.0684
        4869     0.09812
        4872     0.09812
        4872      0.1043
        4874      0.1043
        4874      0.1145
        4878      0.1145
        4878      0.1094
        4880      0.1094
        4880       0.135
        4881       0.135
        4881      0.1576
        4885      0.1576
        4885      0.1668
        4887      0.1668
        4887      0.1545
        4890      0.1545
        4890      0.1217
        4892      0.1217
        4892     0.06738
        4894     0.06738
        4894     0.03561
        4897     0.03561
        4897    0.002818
        4899    0.002818
        4899    -0.02075
        4902    -0.02075
        4902    -0.04227
        4904    -0.04227
        4904    -0.04739
        4906    -0.04739
        4906    -0.03407
        4910    -0.03407
        4910    -0.03202
        4911    -0.03202
        4911    -0.02587
        4915    -0.02587
        4915   -0.006405
        4917   -0.006405
        4917     0.01204
        4918     0.01204
        4918     0.01204
        4922     0.01204
        4922     0.02229
        4924     0.02229
        4924   -0.002306
        4927   -0.002306
        4927    -0.03817
        4929    -0.03817
        4929    -0.08531
        4931    -0.08531
        4931    -0.08121
        4934    -0.08121
        4934    -0.04125
        4936    -0.04125
        4936    -0.01255
        4940    -0.01255
        4940    -0.02178
        4941    -0.02178
        4941     -0.0269
        4943     -0.0269
        4943    -0.01255
        4947    -0.01255
        4947     0.03151
        4948     0.03151
        4948     0.04893
        4952     0.04893
        4952     0.06225
        4954     0.06225
        4954     0.07557
        4956     0.07557
        4956     0.04176
        4959     0.04176
        4959    0.001793
        4961    0.001793
        4961    -0.00333
        4964    -0.00333
        4964    0.007942
        4966    0.007942
        4966     0.01409
        4968     0.01409
        4968   -0.008454
        4971   -0.008454
        4971   -0.002306
        4973   -0.002306
        4973    -0.00333
        4975    -0.00333
        4975    -0.02485
        4978    -0.02485
        4978    0.008966
        4980    0.008966
        4980     0.05815
        4984     0.05815
        4984     0.07045
        4986     0.07045
        4986     0.06943
        4987     0.06943
        4987     0.05918
        4991     0.05918
        4991     0.04996
        4993     0.04996
        4993   -0.001281
        4996   -0.001281
        4996    -0.01973
        4998    -0.01973
        4998   -0.008454
        5000   -0.008454
        5000    -0.01768
        5003    -0.01768
        5003    -0.07096
        5005    -0.07096
        5005    -0.08019
        5009    -0.08019
        5009    -0.08019
        5010    -0.08019
        5010    -0.05149
        5012    -0.05149
        5012     -0.0146
        5016     -0.0146
        5016     0.01511
        5017     0.01511
        5017     0.04278
        5021     0.04278
        5021     0.03561
        5023     0.03561
        5023     0.01409
        5024     0.01409
        5024     0.03561
        5028     0.03561
        5028     0.05713
        5030     0.05713
        5030      0.0725
        5033      0.0725
        5033     0.04176
        5035     0.04176
        5035    -0.00333
        5037    -0.00333
        5037   -0.002306
        5040   -0.002306
        5040    0.004868
        5042    0.004868
        5042    0.005892
        5046    0.005892
        5046     0.01819
        5047     0.01819
        5047   0.0007685
        5049   0.0007685
        5049    -0.01973
        5053    -0.01973
        5053   -0.009479
        5054   -0.009479
        5054     0.01409
        5058     0.01409
        5058     0.04996
        5060     0.04996
        5060     0.07557
        5062     0.07557
        5062     0.07352
        5065     0.07352
        5065     0.08787
        5067     0.08787
        5067     0.07352
        5070     0.07352
        5070      0.1114
        5072      0.1114
        5072      0.1186
        5074      0.1186
        5074      0.0766
        5077      0.0766
        5077      0.0561
        5079      0.0561
        5079     0.06225
        5083     0.06225
        5083     0.02536
        5085     0.02536
        5085    -0.01563
        5086    -0.01563
        5086   -0.009479
        5090   -0.009479
        5090     0.02434
        5092     0.02434
        5092     0.01614
        5095     0.01614
        5095     0.01511
        5097     0.01511
        5097     0.03458
        5099     0.03458
        5099     0.04996
        5102     0.04996
        5102     0.02331
        5104     0.02331
        5104     0.03561
        5106     0.03561
        5106     0.07557
        5109     0.07557
        5109     0.05815
        5111     0.05815
        5111     0.03356
        5115     0.03356
        5115     0.02639
        5116     0.02639
        5116     0.02741
        5120     0.02741
        5120     0.05098
        5122     0.05098
        5122     0.05303
        5123     0.05303
        5123      0.0848
        5127      0.0848
        5127      0.1125
        5129      0.1125
        5129     0.09197
        5130     0.09197
        5130      0.0807
        5134      0.0807
        5134     0.07865
        5136     0.07865
        5136     0.08172
        5139     0.08172
        5139      0.1032
        5141      0.1032
        5141     0.09197
        5143     0.09197
        5143      0.0848
        5146      0.0848
        5146     0.08275
        5148     0.08275
        5148     0.08275
        5152     0.08275
        5152     0.08275
        5153     0.08275
        5153     0.09709
        5155     0.09709
        5155      0.1278
        5159      0.1278
        5159      0.1319
        5160      0.1319
        5160      0.1227
        5164      0.1227
        5164      0.1381
        5166      0.1381
        5166      0.1237
        5168      0.1237
        5168     0.08685
        5171     0.08685
        5171     0.06943
        5173     0.06943
        5173     0.07352
        5176     0.07352
        5176     0.09094
        5178     0.09094
        5178      0.0766
        5180      0.0766
        5180      0.0561
        5183      0.0561
        5183     0.05098
        5185     0.05098
        5185     0.02741
        5189     0.02741
        5189     0.04791
        5191     0.04791
        5191     0.07147
        5192     0.07147
        5192     0.06533
        5196     0.06533
        5196     0.07967
        5198     0.07967
        5198     0.07045
        5201     0.07045
        5201     0.05918
        5203     0.05918
        5203      0.0684
        5205      0.0684
        5205      0.0766
        5208      0.0766
        5208     0.06738
        5210     0.06738
        5210     0.06533
        5213     0.06533
        5213     0.07865
        5215     0.07865
        5215     0.09197
        5217     0.09197
        5217     0.09607
        5221     0.09607
        5221     0.08787
        5222     0.08787
        5222      0.0848
        5226      0.0848
        5226     0.08787
        5228     0.08787
        5228     0.06635
        5229     0.06635
        5229     0.08582
        5233     0.08582
        5233     0.07557
        5235     0.07557
        5235     0.06123
        5238     0.06123
        5238     0.07352
        5240     0.07352
        5240     0.06635
        5242     0.06635
        5242     0.06943
        5245     0.06943
        5245     0.05815
