# Composite starburst spectrum from Christy Tremonti, has had MW lines
# removed and been dereddened. (Orig file fos_h27.fit)
# Wave/A   F??
2150.  0.9914483
2151.  0.9805406
2152.  1.002787
2153.  1.018333
2154.  1.028785
2155.  1.032178
2156.  1.017286
2157.  1.002371
2158.  0.9950691
2159.  0.9825687
2160.  0.9760782
2161.  0.9665213
2162.  0.9380135
2163.  0.9443293
2164.  0.9492781
2165.  0.937722
2166.  0.9628918
2167.  0.9739754
2168.  0.9512314
2169.  0.9362013
2170.  0.939634
2171.  0.9538042
2172.  0.9861827
2173.  0.9991848
2174.  0.9879832
2175.  0.9891046
2176.  0.9875922
2177.  0.9696831
2178.  0.9741781
2179.  1.001573
2180.  1.002142
2181.  0.9670631
2182.  0.9388254
2183.  0.9548326
2184.  0.9469453
2185.  0.9601335
2186.  0.9781957
2187.  0.9700021
2188.  0.9743255
2189.  0.9898704
2190.  0.9842265
2191.  0.9929884
2192.  0.9995249
2193.  1.013496
2194.  1.013387
2195.  1.017862
2196.  1.022643
2197.  1.022098
2198.  1.013213
2199.  1.007523
2200.  1.0114
2201.  1.001465
2202.  0.9985599
2203.  0.9903489
2204.  0.9827285
2205.  0.9891037
2206.  0.9953535
2207.  0.9962745
2208.  1.007508
2209.  1.000727
2210.  0.9799659
2211.  0.9729914
2212.  0.9713033
2213.  0.9550501
2214.  0.957648
2215.  0.9918064
2216.  0.9770799
2217.  0.9419449
2218.  0.9653704
2219.  1.019829
2220.  1.020454
2221.  1.034303
2222.  1.078261
2223.  1.07305
2224.  1.003745
2225.  0.9881157
2226.  0.9835844
2227.  0.9813387
2228.  0.9753336
2229.  0.9486704
2230.  0.9710956
2231.  1.002968
2232.  1.010487
2233.  0.9922667
2234.  0.9797108
2235.  0.9825103
2236.  1.001768
2237.  1.014144
2238.  1.013029
2239.  0.9892382
2240.  0.9988687
2241.  1.023711
2242.  1.013224
2243.  0.9967279
2244.  0.9909086
2245.  0.9737339
2246.  0.9817207
2247.  0.9731743
2248.  0.965525
2249.  0.9654778
2250.  0.9462169
2251.  0.929446
2252.  0.9483755
2253.  0.964707
2254.  0.9670423
2255.  0.9770169
2256.  0.9765422
2257.  0.9580406
2258.  0.9444084
2259.  0.9428463
2260.  0.9501747
2261.  0.9437928
2262.  0.9574603
2263.  0.9735044
2264.  0.9787096
2265.  1.007736
2266.  1.036456
2267.  1.034505
2268.  1.000707
2269.  0.9804825
2270.  1.005287
2271.  1.015933
2272.  1.024473
2273.  1.019786
2274.  0.9763067
2275.  0.9658049
2276.  0.9807639
2277.  0.9703434
2278.  0.9818286
2279.  1.014175
2280.  1.043335
2281.  1.037311
2282.  1.033545
2283.  1.038079
2284.  1.052145
2285.  1.041785
2286.  1.031269
2287.  1.031125
2288.  1.047767
2289.  1.051883
2290.  1.020063
2291.  1.007289
2292.  0.9934943
2293.  0.9829047
2294.  0.9893352
2295.  1.012605
2296.  1.001934
2297.  0.9619961
2298.  0.9561
2299.  1.000749
2300.  1.02504
2301.  1.016853
2302.  1.023037
2303.  1.011351
2304.  0.9951941
2305.  0.9998187
2306.  1.011745
2307.  1.002509
2308.  0.9834659
2309.  0.9875648
2310.  0.9821048
2311.  0.9960207
2312.  1.034352
2313.  1.039732
2314.  1.043814
2315.  1.043615
2316.  1.031892
2317.  1.022229
2318.  0.998399
2319.  0.9984716
2320.  1.011658
2321.  1.032602
2322.  1.050113
2323.  1.068578
2324.  1.092807
2325.  1.114582
2326.  1.114114
2327.  1.077761
2328.  1.038456
2329.  1.00105
2330.  0.9746124
2331.  0.9662734
2332.  0.9745082
2333.  0.9757022
2334.  1.004898
2335.  1.030283
2336.  0.998122
2337.  0.9633551
2338.  0.9232568
2339.  0.9015341
2340.  0.9057737
2341.  0.9089353
2342.  0.912846
2343.  0.9079647
2344.  0.8839605
2345.  0.8767059
2346.  0.9324723
2347.  0.9743668
2348.  1.000266
2349.  1.010905
2350.  1.029459
2351.  1.058699
2352.  1.046814
2353.  1.008376
2354.  1.005559
2355.  1.034098
