# LBG mean spectra from astro-ph/0112262
# lambda (A)  Flam W/m^2/A
1000  2.39991e-21  
1000.77  2.39621840294158e-21  
1000.77  2.52934530857596e-21  
1001.54  2.52545760121302e-21  
1001.54  3.02391915746832e-21  
1003.09  3.01458110524772e-21  
1003.09  3.24648572047714e-21  
1003.86  3.2415072667391e-21  
1003.86  3.43998208395481e-21  
1004.63  3.43471094707498e-21  
1004.63  3.1374697722829e-21  
1006.17  3.12787297283184e-21  
1006.17  2.99615340669694e-21  
1006.94  2.99157288345787e-21  
1006.94  2.76144711283962e-21  
1007.71  2.75722863349687e-21  
1009.26  2.74876615078703e-21  
1009.26  2.84694152456204e-21  
1010.03  2.84260242695283e-21  
1010.03  2.77725095195842e-21  
1010.8  2.77302129482789e-21  
1010.8  2.70777228410413e-21  
1011.57  2.70365157842702e-21  
1011.57  2.34532521773585e-21  
1013.11  2.33820051116517e-21  
1013.11  2.20829398752212e-21  
1013.88  2.20494104499683e-21  
1014.65  2.20159573304166e-21  
1014.65  2.42824040121878e-21  
1016.2  2.42083850749912e-21  
1016.2  2.51767750940956e-21  
1016.97  2.51386642792e-21  
1016.97  2.3849441762865e-21  
1017.74  2.38133674742866e-21  
1018.51  2.37773749719479e-21  
1018.51  2.31347260205756e-21  
1020.05  2.30649243752897e-21  
1020.05  2.49870830979011e-21  
1020.82  2.49494020226054e-21  
1020.82  2.33500138372777e-21  
1021.59  2.33148280292077e-21  
1021.59  2.13984600706152e-21  
1023.14  2.13336742356991e-21  
1023.14  1.81494167150147e-21  
1023.91  1.81221295586882e-21  
1023.91  1.55785477750203e-21  
1024.68  1.5555143444381e-21  
1024.68  1.33328780513646e-21  
1026.22  1.32928920327287e-21  
1026.22  1.13937772322609e-21  
1026.99  1.13766983521326e-21  
1026.99  1.07446184691887e-21  
1027.76  1.07285247177036e-21  
1027.76  1.32530856250597e-21  
1028.54  1.32329921195709e-21  
1028.54  1.63839016861026e-21  
1030.08  1.63349494728845e-21  
1030.08  2.13613248345318e-21  
1030.85  2.13294247965612e-21  
1030.85  2.32115183909656e-21  
1031.62  2.31768812202702e-21  
1031.62  2.50561662781542e-21  
1033.16  2.49815258776717e-21  
1033.16  2.59183552308992e-21  
1033.93  2.58797651867432e-21  
1033.93  2.9309607498966e-21  
1034.71  2.92654349734103e-21  
1034.71  3.08222829230878e-21  
1036.25  3.07307392894196e-21  
1036.25  2.8868126319588e-21  
1037.02  2.88252723634141e-21  
1037.02  2.75855317952321e-21  
1037.79  2.75446121881157e-21  
1037.79  2.63065991966773e-21  
1038.56  2.62676056434135e-21  
1038.56  2.93581477877205e-21  
1040.1  2.92712752237802e-21  
1040.1  3.17360378945614e-21  
1040.88  3.16884919053701e-21  
1040.88  3.53806507563606e-21  
1041.65  3.53283624985559e-21  
1041.65  3.74788927549736e-21  
1043.19  3.73683186651676e-21  
1043.19  3.95122285325922e-21  
1043.96  3.94539634729956e-21  
1043.96  4.09833447682999e-21  
1044.73  4.09229549141958e-21  
1044.73  4.27554532042496e-21  
1045.5  4.26924984922058e-21  
1045.5  4.33023403573558e-21  
1047.05  4.31742300511837e-21  
1047.05  4.439030533781e-21  
1047.82  4.43250880749738e-21  
1047.82  4.28072272556094e-21  
1048.59  4.27443819818071e-21  
1050.13  4.26191059082305e-21  
1050.13  4.11076434635966e-21  
1050.9  4.10474259560345e-21  
1050.9  4.13492212960374e-21  
1051.67  4.12886942396934e-21  
1051.67  4.2494379771036e-21  
1053.22  4.23693957758914e-21  
1053.22  4.17681908608515e-21  
1053.99  4.17071850466552e-21  
1053.99  4.08070999153721e-21  
1054.76  4.07475413471214e-21  
1054.76  3.92495889410062e-21  
1055.53  3.91923453570741e-21  
1057.07  3.90782332421524e-21  
1057.07  3.93765157724474e-21  
1057.84  3.93192124331223e-21  
1057.84  4.14041515803731e-21  
1058.61  4.13439413008155e-21  
1058.61  3.95594494061033e-21  
1060.16  3.94438586982616e-21  
1060.16  3.88507661316736e-21  
1060.93  3.87943925084196e-21  
1060.93  3.61290821054448e-21  
1061.7  3.60766957341788e-21  
1061.7  3.63723823583087e-21  
1063.24  3.62670949278249e-21  
1063.24  3.53823374606838e-21  
1064.01  3.5331145194133e-21  
1064.01  3.41535286843998e-21  
1064.78  3.41041500179043e-21  
1064.78  3.43981285002057e-21  
1065.55  3.43484321200561e-21  
1065.55  3.61100189024004e-21  
1067.09  3.6005867796161e-21  
1067.09  3.6883989008511e-21  
1067.86  3.68308164350941e-21  
1068.63  3.67777587605544e-21  
1068.63  3.85292057033933e-21  
