# LBG mean spectra from astro-ph/0112262
# lambda (A)  Flam W/m^2/A
1000  3.60006e-21  
1000.77  3.59452230445886e-21  
1000.77  3.80063476905929e-21  
1001.54  3.79479303771268e-21  
1001.54  3.7261845146756e-21  
1003.09  3.71467782293892e-21  
1003.09  3.64628116732869e-21  
1003.86  3.64068963122769e-21  
1003.86  3.26517420534515e-21  
1004.63  3.26017092923707e-21  
1004.63  3.19198380373977e-21  
1006.17  3.18222025838671e-21  
1006.17  3.28418809349812e-21  
1006.94  3.2791672224539e-21  
1006.94  3.38094958111094e-21  
1007.71  3.3757847289939e-21  
1007.71  3.51129707323634e-21  
1009.26  3.50052020460443e-21  
1009.26  3.26410881524462e-21  
1010.03  3.25913390211971e-21  
1010.03  3.15794395231285e-21  
1010.8  3.15313451291153e-21  
1010.8  2.78274316839941e-21  
1011.57  2.77850837153732e-21  
1011.57  2.61040088252527e-21  
1013.11  2.60247092032677e-21  
1013.11  2.83710352659173e-21  
1013.88  2.83279583698305e-21  
1013.88  3.06708678313619e-21  
1014.65  3.06243343328521e-21  
1014.65  3.22952188083176e-21  
1016.2  3.21967747756953e-21  
1016.2  2.88650761811381e-21  
1016.97  2.88213822778811e-21  
1016.97  3.01520560030325e-21  
1017.74  3.01064484797914e-21  
1017.74  3.04386571669716e-21  
1018.51  3.03926509294896e-21  
1018.51  2.97292377828566e-21  
1020.05  2.96395393049712e-21  
1020.05  2.76556795958689e-21  
1020.82  2.76139742178893e-21  
1020.82  2.4642657816495e-21  
1021.59  2.46055241413586e-21  
1021.59  1.99904253350528e-21  
1023.14  1.99299024567061e-21  
1023.14  1.30282561982905e-21  
1023.91  1.30086685680583e-21  
1023.91  1.10397098063372e-21  
1024.68  1.10231243696072e-21  
1024.68  1.23337915091015e-21  
1026.22  1.22968018047605e-21  
1026.22  1.3603509696405e-21  
1026.99  1.35831185033272e-21  
1026.99  1.48878961286716e-21  
1027.76  1.48655963977768e-21  
1027.76  1.61683912698232e-21  
1028.54  1.61438777589386e-21  
1028.54  2.00463934414386e-21  
1030.08  1.9986498347779e-21  
1030.08  2.19319120374512e-21  
1030.85  2.18991599103158e-21  
1030.85  2.5784205134999e-21  
1031.62  2.57457288966305e-21  
1031.62  2.8008611702541e-21  
1033.16  2.79251761932445e-21  
1033.16  2.76028661994601e-21  
1033.93  2.75617680735961e-21  
1033.93  2.65963058252578e-21  
1034.71  2.65562225181445e-21  
1034.71  2.59135323710278e-21  
1036.25  2.58365679579653e-21  
1036.25  2.61569586215025e-21  
1037.02  2.61181293207713e-21  
1037.02  2.64380443729959e-21  
1037.79  2.63988269166605e-21  
1037.79  2.76765610584148e-21  
1038.56  2.76355368481123e-21  
1038.56  3.21011304929255e-21  
1040.1  3.20061412745502e-21  
1040.1  3.67762113353182e-21  
1040.88  3.67211143080064e-21  
1040.88  4.40248546719314e-21  
1041.65  4.39597913420692e-21  
1041.65  4.74474216653467e-21  
1043.19  4.73074373947712e-21  
1043.19  4.85719500039877e-21  
1043.96  4.85003254040395e-21  
1043.96  4.75534082593587e-21  
1044.73  4.74833372731283e-21  
1044.73  4.59072842965019e-21  
1045.5  4.58396887116816e-21  
1045.5  4.55248873528485e-21  
1047.05  4.53902016243384e-21  
1047.05  4.47627352354469e-21  
1047.82  4.46969708067749e-21  
1047.82  4.43835619211204e-21  
1048.59  4.43184024310044e-21  
1048.59  4.46313512011949e-21  
1050.13  4.45005447611982e-21  
1050.13  4.35644500398185e-21  
1050.9  4.35006336208104e-21  
1050.9  4.72389841780737e-21  
1051.67  4.7169835677392e-21  
1051.67  4.68587172736912e-21  
1053.22  4.67208969378309e-21  
1053.22  4.61004902463773e-21  
1053.99  4.6033156759234e-21  
1053.99  4.4794425736973e-21  
1054.76  4.47290476074799e-21  
1055.53  4.46638125041322e-21  
1055.53  4.49726595916162e-21  
1057.07  4.48417175606431e-21  
1057.07  4.29942989369167e-21  
1057.84  4.29317307575668e-21  
1057.84  4.20094997344804e-21  
1058.61  4.19484091523396e-21  
1058.61  4.10275192456775e-21  
1060.16  4.09076389121088e-21  
1060.93  4.08482807049521e-21  
1060.93  3.87085695134439e-21  
1061.7  3.86524429423954e-21  
1061.7  3.77369056003552e-21  
