# LBG mean spectra from astro-ph/0112262
# lambda (A)  Flam W/m^2/A
1000  2.999154e-21  
1000.77  2.99454063196364e-21  
1000.77  3.09528143140328e-21  
1001.54  3.09052385703396e-21  
1001.54  3.19107392436205e-21  
1003.09  3.18121968772615e-21  
1003.09  3.48202782131444e-21  
1003.86  3.47668816609475e-21  
1004.63  3.47136078392685e-21  
1004.63  3.37139857684427e-21  
1006.17  3.36108624290646e-21  
1006.17  3.26142979725704e-21  
1006.94  3.25644371912582e-21  
1006.94  3.35594780987105e-21  
1007.71  3.35082115129936e-21  
1007.71  3.54949577851332e-21  
1009.26  3.53860167046244e-21  
1009.26  3.34053681516847e-21  
1010.03  3.33544541614144e-21  
1010.03  3.13765302950939e-21  
1010.8  3.13287449248159e-21  
1010.8  3.03415827699547e-21  
1011.57  3.02954087496699e-21  
1011.57  3.32529747579601e-21  
1013.11  3.31519577706523e-21  
1013.11  3.216899986985e-21  
1013.88  3.21201563697232e-21  
1013.88  3.11386909338575e-21  
1014.65  3.10914476593556e-21  
1014.65  2.91317280440084e-21  
1016.2  2.90429271350278e-21  
1016.97  2.8998964013622e-21  
1017.74  2.8955100639095e-21  
1018.51  2.89113367099239e-21  
1018.51  2.79388609522156e-21  
1020.05  2.78545643644737e-21  
1020.05  2.6885022741703e-21  
1020.82  2.68444795313456e-21  
1020.82  2.49082916775725e-21  
1021.59  2.48707577224997e-21  
1021.59  2.39041082300739e-21  
1023.14  2.38317363115106e-21  
1023.14  2.09406250155842e-21  
1023.91  2.09091413531973e-21  
1023.91  1.80223481495189e-21  
1024.68  1.79952723911697e-21  
1024.68  1.60736444162245e-21  
1026.22  1.60254386917967e-21  
1026.22  1.88992502989726e-21  
1026.99  1.88709209729036e-21  
1026.99  2.26969071602311e-21  
1027.76  2.26629107568815e-21  
1027.76  2.45730384872444e-21  
1028.54  2.45357823721262e-21  
1028.54  2.54893840496717e-21  
1030.08  2.54132262585238e-21  
1030.08  2.63640070156605e-21  
1030.85  2.63246361980089e-21  
1030.85  2.82233015436532e-21  
1031.62  2.81811855865371e-21  
1031.62  3.10249618957973e-21  
1033.16  3.09325409102743e-21  
1033.93  3.08864852053906e-21  
1033.93  3.18302545107306e-21  
1034.71  3.17822831166794e-21  
1036.25  3.16878882371686e-21  
1037.02  3.16408484203573e-21  
1037.02  3.35168762597453e-21  
1037.79  3.34671582619739e-21  
1037.79  3.72139267956308e-21  
1038.56  3.71587656086674e-21  
1038.56  4.08999804096928e-21  
1040.1  4.07789548535511e-21  
1040.1  4.45090991700089e-21  
1040.88  4.4442416959864e-21  
1040.88  4.63048333714256e-21  
1041.65  4.62364005129799e-21  
1041.65  4.53065685185941e-21  
1043.19  4.51729004134842e-21  
1043.19  4.42458117052228e-21  
1043.96  4.41805664646568e-21  
1043.96  4.23293985001282e-21  
1044.73  4.22670252064356e-21  
1045.5  4.22047896738567e-21  
1045.5  4.31277861601301e-21  
1047.05  4.30001922738898e-21  
1047.05  4.20799264798024e-21  
1047.82  4.20181035749029e-21  
1048.59  4.19564168132715e-21  
1048.59  4.10388521104373e-21  
1050.13  4.0918574637279e-21  
1050.13  4.00036991510832e-21  
1050.9  3.99450987825587e-21  
1051.67  3.98866270829983e-21  
1053.22  3.97693129809326e-21  
1053.22  4.06788281088135e-21  
1053.99  4.06194133968477e-21  
1053.99  4.152760010447e-21  
1054.76  4.1466989955495e-21  
1054.76  3.96532675642203e-21  
1055.53  3.95954352349848e-21  
1055.53  3.86901659166576e-21  
1057.07  3.85775159433223e-21  
1057.84  3.85213753619871e-21  
1057.84  4.03242833940383e-21  
1058.61  4.02656434682471e-21  
1058.61  4.11659204322311e-21  
1060.16  4.1045635697404e-21  
1060.16  4.19432820976899e-21  
1060.93  4.18824211413063e-21  
1060.93  3.9193389475745e-21  
1061.7  3.91365599264568e-21  
1061.7  3.64516934420087e-21  
1063.24  3.6346176429087e-21  
1063.24  3.36690818494472e-21  
1064.01  3.36203683744126e-21  
1064.78  3.35717605432056e-21  
1064.78  3.4461634202953e-21  
1065.55  3.44118460735228e-21  
1065.55  3.61887578946216e-21  
1067.09  3.60843796837338e-21  
1067.86  3.60323598404491e-21  
1067.86  3.69171076255532e-21  
1068.63  3.6863925641798e-21  
1070.18  3.67572189085008e-21  
1070.18  3.8518788815215e-21  
1070.95  3.84634196476723e-21  
1070.95  3.93430692925218e-21  
1071.72  3.92865558736948e-21  
1071.72  3.84081697807159e-21  
1072.49  3.83530388718588e-21  
1072.49  3.74761744265192e-21  
1074.03  3.73687809040905e-21  
1074.03  3.82431325646296e-21  
1074.8  3.81883564874032e-21  
1074.8  3.99350745134778e-21  
1075.58  3.98771744716084e-21  
1075.58  3.90050817019433e-21  
1077.12  3.88936272954193e-21  
1077.89  3.88380791482458e-21  
1078.66  3.87826499175198e-21  
1080.2  3.86721468498585e-21  
1080.2  3.78074979840286e-21  
1080.97  3.77536548524856e-21  
1080.97  3.68904941070653e-21  
1081.75  3.68373132216653e-21  
1081.75  3.51129676344978e-21  
1082.52  3.50630334636172e-21  
1082.52  3.33413960748318e-21  
1084.06  3.32467347471575e-21  
1084.06  3.15297300717627e-21  
1084.83  3.14849870685837e-21  
1084.83  3.23422711283974e-21  
1085.6  3.22964076116146e-21  
1085.6  3.40082898033016e-21  
1087.14  3.39120084196877e-21  
1087.14  3.73263335662324e-21  
1087.92  3.72728294425173e-21  
1088.69  3.72201240272217e-21  
1088.69  3.89225555417208e-21  
1090.23  3.88126734049022e-21  
1091  3.87579067463901e-21  
1091  3.96055217213414e-21  
1091.77  3.9549675714258e-21  
1091.77  3.87032559239637e-21  
1092.54  3.86487206111825e-21  
1094.09  3.8539290705415e-21  
1094.86  3.8485101459769e-21  
1094.86  3.93267503270123e-21  
1095.63  3.92714927000407e-21  
1097.17  3.91613262629481e-21  
1097.17  3.83232177079599e-21  
1097.94  3.82694833870499e-21  
1098.71  3.82158620011101e-21  
1099.48  3.81623532338837e-21  
1101.03  3.80549810251798e-21  
1101.03  3.72227386649436e-21  
1101.8  3.71707301450083e-21  
1101.8  3.80018096758844e-21  
1102.57  3.79487496872492e-21  
1102.57  3.96083411816745e-21  
1104.11  3.94979277145949e-21  
1104.11  4.03255333426233e-21  
1104.88  4.02693465332995e-21  
1104.88  3.61373297839775e-21  
1105.65  3.60870135813985e-21  
1105.65  3.4436655428832e-21  
1107.2  3.43403052589044e-21  
1107.97  3.42925912469558e-21  
1107.97  3.67578943682762e-21  
1108.74  3.67068567029981e-21  
1108.74  3.75275647474635e-21  
1109.51  3.74754945581642e-21  
1109.51  3.66559252612706e-21  
1111.05  3.65543798712088e-21  
1111.05  3.49200250971276e-21  
1111.82  3.48716735502444e-21  
1112.59  3.48234223578664e-21  
1112.59  3.56382179285971e-21  
1114.14  3.55391265878922e-21  
1114.14  3.71646700454247e-21  
