# M32 from astro-ph/9702233. The flux scale is accurate to a few %
#         l0 / A          f0 / 1E-18 ergs/s/cm^2/A
#
        1901         0.5
        1901       0.561
        1902       0.561
        1902      0.6098
        1903      0.6098
        1903      0.5854
        1904      0.5854
        1904      0.5732
        1905      0.5732
        1905      0.5244
        1906      0.5244
        1906      0.5366
        1908      0.5366
        1908      0.5366
        1909      0.5366
        1909      0.5366
        1910      0.5366
        1910      0.5122
        1911      0.5122
        1911      0.4756
        1912      0.4756
        1912      0.4267
        1914      0.4267
        1914      0.4389
        1915      0.4389
        1915      0.4389
        1916      0.4389
        1916      0.4878
        1917      0.4878
        1917      0.4634
        1919      0.4634
        1919      0.4756
        1920      0.4756
        1920      0.4756
        1921      0.4756
        1921      0.4634
        1922      0.4634
        1922      0.4145
        1923      0.4145
        1923      0.4023
        1924      0.4023
        1924      0.3779
        1926      0.3779
        1926      0.3901
        1927      0.3901
        1927      0.4267
        1928      0.4267
        1928      0.5366
        1929      0.5366
        1929      0.5488
        1930      0.5488
        1930         0.5
        1931         0.5
        1931      0.4511
        1932      0.4511
        1932      0.4511
        1934      0.4511
        1934      0.4145
        1935      0.4145
        1935      0.4145
        1936      0.4145
        1936      0.4145
        1937      0.4145
        1937      0.4023
        1938      0.4023
        1938      0.3657
        1939      0.3657
        1939      0.3779
        1941      0.3779
        1941      0.4023
        1942      0.4023
        1942      0.4756
        1943      0.4756
        1943      0.5122
        1944      0.5122
        1944       0.561
        1946       0.561
        1946       0.561
        1947       0.561
        1947      0.5244
        1948      0.5244
        1948      0.5244
        1949      0.5244
        1949      0.5366
        1950      0.5366
        1950       0.561
        1952       0.561
        1952       0.622
        1953       0.622
        1953      0.6952
        1954      0.6952
        1954      0.7441
        1955      0.7441
        1955      0.7441
        1956      0.7441
        1956      0.7319
        1957      0.7319
        1957      0.6952
        1959      0.6952
        1959      0.7685
        1960      0.7685
        1960      0.8539
        1961      0.8539
        1961      0.9271
        1962      0.9271
        1962      0.9882
        1963      0.9882
        1963       1.025
        1964       1.025
        1964       1.049
        1965       1.049
        1965       1.037
        1967       1.037
        1967       1.049
        1968       1.049
        1968       1.074
        1969       1.074
        1969     0.03619
        1971     0.03619
        1971      0.1338
        1972      0.1338
        1972        1.11
        1975        1.11
        1975       1.562
        1976       1.562
        1976       1.122
        1978       1.122
        1978      0.8905
        1980      0.8905
        1980      0.9637
        1982      0.9637
        1982       1.171
        1984       1.171
        1984       1.269
        1986       1.269
        1986       1.025
        1988       1.025
        1988      0.8417
        1989      0.8417
        1989      0.7074
        1992      0.7074
        1992      0.2193
        1993      0.2193
        1993      0.2803
        1995      0.2803
        1995      0.7685
        1997      0.7685
        1997      0.3901
        1999      0.3901
        1999      0.3657
        2001      0.3657
        2001       1.086
        2003       1.086
        2003       1.171
        2004       1.171
        2004       1.244
        2006       1.244
        2006        1.11
        2008        1.11
        2008       0.976
        2010       0.976
        2010      0.5122
        2012      0.5122
        2012      0.9271
        2014      0.9271
        2014       1.183
        2015       1.183
        2015           1
        2018           1
        2018       1.086
        2019       1.086
        2019      0.8905
        2021      0.8905
        2021       1.086
        2023       1.086
        2023       1.293
        2025       1.293
        2025       1.208
        2027       1.208
        2027        1.22
        2029        1.22
        2029       1.013
        2031       1.013
        2031       1.013
        2033       1.013
        2033       1.232
        2035       1.232
        2035      0.4267
        2036      0.4267
        2036      0.4145
        2038      0.4145
        2038       1.464
        2040       1.464
        2040       1.733
        2042       1.733
        2042       1.489
        2044       1.489
        2044       1.428
        2046       1.428
        2046       1.598
        2047       1.598
        2047       1.757
        2050       1.757
        2050       1.171
        2051       1.171
        2051       1.464
        2053       1.464
        2053       1.476
        2055       1.476
        2055        1.72
        2057        1.72
        2057       1.574
        2059       1.574
        2059       1.135
        2061       1.135
        2061       0.976
        2062       0.976
        2062      0.9393
        2064      0.9393
        2064      0.6342
        2066      0.6342
        2066      0.7074
        2068      0.7074
        2068      0.9271
        2070      0.9271
        2070       1.086
        2072       1.086
        2072      0.9149
        2074      0.9149
        2074       1.049
        2076       1.049
        2076        1.33
        2078        1.33
        2078       1.525
        2079       1.525
        2079       1.476
        2081       1.476
        2081       1.659
        2083       1.659
        2083       1.916
        2085       1.916
        2085       1.659
        2087       1.659
        2087       1.513
        2089       1.513
        2089       1.464
        2091       1.464
        2091       1.647
        2093       1.647
        2093       1.733
        2094       1.733
        2094       1.916
        2096       1.916
        2096       1.354
        2098       1.354
        2098       1.049
        2100       1.049
        2100       1.635
        2102       1.635
        2102       1.428
        2104       1.428
        2104        1.22
        2105        1.22
        2105      0.7929
        2108      0.7929
        2108       1.354
        2110       1.354
        2110       1.415
        2111       1.415
        2111       1.281
        2113       1.281
        2113       1.525
        2115       1.525
        2115        1.94
        2117        1.94
        2117       2.099
        2119       2.099
        2119        1.72
        2121        1.72
        2121        1.72
        2122        1.72
        2122       1.452
        2125       1.452
        2125      0.6708
        2126      0.6708
        2126      0.7441
        2128      0.7441
        2128       1.745
        2130       1.745
        2130       2.404
        2132       2.404
        2132       1.598
        2134       1.598
        2134       1.074
        2136       1.074
        2136       1.257
        2137       1.257
        2137       1.244
        2139       1.244
        2139       1.257
        2141       1.257
        2141       1.086
        2143       1.086
        2143       1.122
        2145       1.122
        2145       1.818
        2147       1.818
        2147       1.318
        2149       1.318
        2149           1
        2151           1
        2151       1.562
        2152       1.562
        2152       1.452
        2154       1.452
        2154       1.367
        2156       1.367
        2156       1.696
        2158       1.696
        2158       1.159
        2160       1.159
        2160      0.9515
        2162      0.9515
        2162       1.489
        2164       1.489
        2164       1.611
        2166       1.611
        2166       1.061
        2168       1.061
        2168      0.5366
        2169      0.5366
        2169      0.8539
        2171      0.8539
        2171      0.9637
        2173      0.9637
        2173      0.5732
        2175      0.5732
        2175       1.183
        2177       1.183
        2177       1.501
        2179       1.501
        2179       1.208
        2180       1.208
        2180       0.976
        2183       0.976
        2183       1.159
        2184       1.159
        2184       1.562
        2186       1.562
        2186       1.452
        2188       1.452
        2188       1.281
        2190       1.281
        2190       1.159
        2192       1.159
        2192       1.159
        2194       1.159
        2194      0.8783
        2195      0.8783
        2195      0.9149
        2197      0.9149
        2197      0.9393
        2200      0.9393
        2200      0.8539
        2201      0.8539
        2201       1.135
        2203       1.135
        2203       1.196
        2205       1.196
        2205       1.452
        2207       1.452
        2207       1.855
        2209       1.855
        2209       1.208
        2211       1.208
        2211         0.5
        2212         0.5
        2212       0.622
        2214       0.622
        2214       1.318
        2216       1.318
        2216       1.281
        2218       1.281
        2218       1.061
        2220       1.061
        2220      0.7074
        2222      0.7074
        2222      0.6098
        2224      0.6098
        2224       1.049
        2226       1.049
        2226       1.293
        2227       1.293
        2227       1.354
        2229       1.354
        2229       1.135
        2231       1.135
        2231        1.11
        2233        1.11
        2233       1.428
        2235       1.428
        2235       1.611
        2237       1.611
        2237       1.171
        2238       1.171
        2238       1.244
        2241       1.244
        2241       1.525
        2243       1.525
        2243       1.525
        2244       1.525
        2244      0.8417
        2246      0.8417
        2246       1.037
        2248       1.037
        2248      0.8051
        2250      0.8051
        2250           1
        2252           1
        2252       1.367
        2254       1.367
        2254       1.611
        2255       1.611
        2255       1.818
        2258       1.818
        2258       1.586
        2259       1.586
        2259       1.659
        2261       1.659
        2261        1.72
        2263        1.72
        2263       1.476
        2265       1.476
        2265       1.305
        2267       1.305
        2267      0.6464
        2269      0.6464
        2269      0.8905
        2270      0.8905
        2270      0.8295
        2272      0.8295
        2272      0.9149
        2274      0.9149
        2274       1.025
        2276       1.025
        2276       1.061
        2278       1.061
        2278       1.183
        2280       1.183
        2280      0.9637
        2282      0.9637
        2282       1.305
        2284       1.305
        2284       1.708
        2285       1.708
        2285       1.135
        2287       1.135
        2287      0.9027
        2289      0.9027
        2289       1.281
        2291       1.281
        2291      0.8661
        2293      0.8661
        2293      0.6586
        2295      0.6586
        2295       1.489
        2297       1.489
        2297       1.452
        2299       1.452
        2299       1.342
        2301       1.342
        2301        1.44
        2302        1.44
        2302       1.489
        2304       1.489
        2304       1.611
        2306       1.611
        2306       1.623
        2308       1.623
        2308       1.537
        2310       1.537
        2310       1.244
        2312       1.244
        2312       1.171
        2313       1.171
        2313       1.379
        2316       1.379
        2316       1.891
        2317       1.891
        2317       1.965
        2319       1.965
        2319       1.244
        2321       1.244
        2321       1.037
        2323       1.037
        2323       1.672
        2325       1.672
        2325       1.586
        2327       1.586
        2327       1.733
        2329       1.733
        2329       1.696
        2330       1.696
        2330       1.513
        2333       1.513
        2333       1.415
        2334       1.415
        2334        1.44
        2336        1.44
        2336       1.196
        2338       1.196
        2338       1.305
        2340       1.305
        2340       1.025
        2342       1.025
        2342      0.8661
        2344      0.8661
        2344       1.025
        2345       1.025
        2345       1.159
        2348       1.159
        2348      0.8783
        2349      0.8783
        2349      0.9515
        2351      0.9515
        2351      0.8295
        2353      0.8295
        2353      0.9393
        2355      0.9393
