# NGC3610 from astro-ph/9702233. The flux scale is accurate to a few %
#         l0 / A          f0 / 1E-18 ergs/s/cm^2/A
#
        1900         0.3
        1901      0.2636
        1902      0.2636
        1902      0.3243
        1903      0.3243
        1903      0.4093
        1903      0.4093
        1903       0.555
        1904       0.555
        1904       0.555
        1905       0.555
        1905      0.6158
        1906      0.6158
        1906      0.6158
        1907      0.6158
        1907      0.5672
        1909      0.5672
        1909      0.4458
        1910      0.4458
        1910      0.4336
        1911      0.4336
        1911      0.4093
        1912      0.4093
        1912      0.4822
        1912      0.4822
        1912      0.4822
        1913      0.4822
        1913      0.5308
        1914      0.5308
        1914      0.5429
        1915      0.5429
        1915      0.5672
        1917      0.5672
        1917       0.555
        1918       0.555
        1918      0.6279
        1919      0.6279
        1919      0.5915
        1920      0.5915
        1920      0.6886
        1920      0.6886
        1920      0.6036
        1921      0.6036
        1921      0.5186
        1922      0.5186
        1922      0.4822
        1923      0.4822
        1923      0.5186
        1924      0.5186
        1924      0.4579
        1926      0.4579
        1926      0.4579
        1927      0.4579
        1927      0.4336
        1928      0.4336
        1928      0.3972
        1928      0.3972
        1928      0.3972
        1929      0.3972
        1929      0.3972
        1930      0.3972
        1930      0.3972
        1931      0.3972
        1931       0.385
        1932       0.385
        1932      0.3729
        1934      0.3729
        1934      0.2879
        1935      0.2879
        1935      0.2272
        1936      0.2272
        1936      0.2636
        1937      0.2636
        1937      0.2758
        1937      0.2758
        1937      0.3122
        1938      0.3122
        1938      0.3972
        1939      0.3972
        1939      0.3972
        1940      0.3972
        1940      0.3608
        1942      0.3608
        1942       0.385
        1943       0.385
        1943      0.4336
        1944      0.4336
        1944      0.3972
        1945      0.3972
        1945      0.3729
        1945      0.3729
        1945      0.3729
        1946      0.3729
        1946      0.3365
        1947      0.3365
        1947      0.2636
        1948      0.2636
        1948      0.2758
        1949      0.2758
        1949       0.215
        1951       0.215
        1951      0.2758
        1952      0.2758
        1952      0.2879
        1953      0.2879
        1953      0.3608
        1953      0.3608
        1953       0.385
        1954       0.385
        1954      0.4579
        1955      0.4579
        1955      0.4579
        1956      0.4579
        1956      0.4458
        1957      0.4458
        1957      0.3122
        1959      0.3122
        1959      0.2879
        1960      0.2879
        1960      0.2636
        1961      0.2636
        1961      0.1786
        1961      0.1786
        1961      0.2029
        1962      0.2029
        1962      0.2636
        1963      0.2636
        1963      0.3122
