# Spectrum of the Sun from Kohl, Parkinson & Kurucz Atlas
# Sun center, observed, averaged
#
# My mods:
#    Used abs() for uncertain data (negative values in original)
#    Interpolated gaps  (zero in original)
#    Binned up to 0.9328 A/pix
# Wave(air)/A     ergs/cm^2/sec/nm/steradian
2255.52389268821  1016230.18634394  
2256.45674440876  929933.42615944  
2257.38960303524  1467195.34528728  
2258.32245861407  1299570.60500186  
2259.25531373522  1212381.88567644  
2260.18817368089  749742.444503427  
2261.12102397589  999918.589652698  
2262.05388816906  1115445.32947121  
2262.98673914001  924586.996015877  
2263.91959854247  927621.743646815  
2264.85245334453  573830.092743409  
2265.78530924245  663402.017427907  
2266.71816841214  786964.519046461  
2267.65101953672  648759.601547247  
2268.58388284592  621615.02014143  
2269.51673398275  668999.299598533  
2270.4495939382  488445.124915597  
2271.382448075  745221.525781715  
2272.31530480327  762537.116250219  
2273.24816312067  853574.814796135  
2274.18101506666  645981.71270783  
2275.11387757638  1001850.53188174  
2276.04672946359  648180.470215924  
2276.97958869583  1133072.95925119  
2277.91244359442  1060233.58015309  
2278.84529952154  1223753.07522677  
2279.77815865595  771531.494967259  
2280.71101057383  1547867.68468564  
2281.64387391481  1593569.42604589  
2282.57672579469  1167514.8038062  
2283.5095850308  1233334.38934794  
2284.44243991725  1208700.3554312  
2285.37529588629  2053488.18897066  
2286.30815494161  1044273.76688791  
2287.2410061346  535024.119417353  
2288.173869419  1468091.1922268  
2289.10672050186  1309741.15533377  
2290.03958059241  862164.935649166  
2290.97243459411  1077881.38989208  
2291.90529144706  1149976.86833801  
2292.83814961931  1313284.840547  
2293.77100169579  1328782.48045252  
2294.70386409549  1224165.69517013  
2295.6367160899  1857936.68975675  
2296.56957524284  963603.063165865  
2297.50243018215  620098.285748683  
2298.43528610477  764467.310894064  
2299.36814520008  902431.272018736  
2300.30099639904  892230.620082006  
2301.23385962994  1067946.60961383  
2302.16671076677  1591569.80858033  
2303.09957080445  641589.965586167  
2304.03242491261  1439683.07157326  
2304.965281612  1453588.37570506  
2305.89814078891  2568721.15844572  
2306.83099265665  2027748.68404094  
2307.76385602196  1244602.88234222  
2308.696706998  1363704.52881763  
2309.62956722364  991687.126957365  
2310.56242114384  924201.703447806  
2311.4952780304  795367.541316626  
2312.42813621694  725504.251210654  
2313.36098827107  668585.753215143  
2314.29385069883  1275954.92976703  
2315.22670253244  1638519.40585575  
2316.15956198127  1292472.39828218  
2317.09241662469  1180616.26968474  
2318.02527278724  1626125.98095918  
2318.95813122984  1565080.9685931  
2319.89098355024  487274.086349575  
2320.82384532209  1129262.90385893  
2321.75669812048  841689.183252982  
2322.6895566317  1951000.25081951  
2323.62241221273  2933400.63965682  
2324.55526749049  1483501.49157278  
2325.48812676429  674648.264744812  
2326.42097825427  977133.286994173  
2327.35384085653  681787.250433135  
2328.28669279735  1627261.0477461  
2329.21955219331  1837143.33912826  
2330.15240692859  1217358.2867717  
2331.08526301232  879578.956263051  
2332.01812229873  893524.898627284  
2332.95097456626  523935.372459326  
2333.88383719496  1232599.76363402  
2334.81668912886  1065818.31742041  
2335.74954852828  2021836.60207183  
2336.682403251  1019139.19629632  
2337.61525937707  504550.923168635  
2338.54811777958  519056.48580786  
2339.48097012787  806301.899733503  
2340.41383189559  1156349.93381819  
2341.3466846396  1368147.63262194  
2342.27954328591  1148591.65044046  
2343.21239873184  463558.093264032  
2344.14525413386  399326.047945815  
2345.07811329188  533037.211409818  
2346.01096485488  712776.984015418  
2346.94382742925  935746.60214635  
2347.87667937006  415789.050455964  
2348.80953879392  755347.709667842  
2349.7423934623  1420269.36946543  
2350.67524964957  1355794.37345844  
2351.60810801386  1373849.07462265  
2352.54096041649  1701069.14039394  
2353.47382210611  1678758.55373368  
2354.4066749045  1149449.43735877  
2355.33953349795  751885.396936318  
2356.27238899675  1904530.24091344  
2357.20524435281  1779361.81467365  
2358.13810440589  1661228.4516114  
2359.07095667489  650324.140044012  
2360.00381849813  483195.635847348  
2360.93667113573  1139055.50502656  
2361.86952991714  859169.90076392  
2362.80238528158  2000841.06518964  
2363.73524071762  1146170.01738129  
2364.66809988673  703008.216903578  
2365.60095143251  1273132.17431076  
2366.53381403258  828379.202334912  
2367.46666581259  998875.983834581  
2368.39952528739  916055.273516219  
2369.3323801498  1612628.18400022  
2370.26523552806  1221756.88044952  
2371.19809531398  1986709.6362516  
2372.13094624374  2015400.63538526  
2373.06380945982  701289.886954582  
2373.99666059665  731884.994828552  
2374.92952074101  902403.467278028  
2375.86237493465  1383945.98043996  
2376.79523103528  1818035.77176478  
2377.72809004444  1613899.60709758  
2378.66094180535  734679.125391411  
2379.59380413669  831340.776021549  
2380.5266561311  704632.688184707  
2381.45951544426  463960.937101251  
2382.39237050929  404206.794984533  
2383.3252265031  492726.839009948  
2384.25808643646  838652.705116787  
2385.19093806374  1212326.667149  
2386.12380052871  1383219.12299823  
2387.05665240943  1429467.81345594  
2387.98951181556  736518.478100562  
2388.92236679496  591566.544279216  
2389.85522206387  1248541.98016739  
2390.78808191731  1956937.44949725  
2391.72093282137  1187055.88746692  
2392.65379603374  1575908.75333604  
2393.58664711577  1454169.0458323  
2394.51950737633  787072.450387576  
2395.45236147266  362309.376539552  
2396.38521762464  692428.308643332  
2397.31807662605  1191272.49577201  
2398.25092835236  1040463.85718882  
2399.183790763  553509.514501846  
2400.11664265021  1143607.18621401  
2401.04950207952  1402899.93719412  
2401.98235700794  1290342.42966313  
2402.91521233678  1192522.15266336  
2403.8480721516  904045.741532277  
2404.78092310999  378364.837136023  
2405.71378624384  853705.628221032  
2406.64663738067  573235.958830589  
2407.57949760334  908826.947414085  
2408.51235172259  1409166.07039279  
2409.44520870159  1190069.12732706  
2410.37806849002  539154.128499531  
2411.31091942198  544447.330543473  
2412.24378258227  1182444.41079514  
2413.1766336655  652613.667056016  
2414.10949396814  1190149.85859667  
2415.04234806181  1428208.63425113  
2415.97520420881  1463333.83911457  
2416.90806322048  1823401.67761503  
2417.84091490879  1809400.85368003  
2418.77377733393  1970640.85693012  
2419.70662834236  1786440.0058416  
2420.63948958257  2109915.13316331  
2421.57234268586  2111578.02065042  
2422.50519982324  2427466.98812888  
2423.43805784375  1714874.01252093  
2424.37091052322  1525170.20591944  
2425.30377201158  1701350.0855072  
2426.23662387681  2298055.77682754  
2427.16948428581  2445189.38252217  
2428.10233822108  1658523.6186895  
2429.03519458008  1838952.3890125  
2429.96805332459  2259559.38584866  
2430.90090533366  2154305.49512836  
2431.83376743961  1742502.51353246  
2432.76661866087  1508318.00362115  
2433.69947973944  2222944.04478655  
2434.63233380991  1239658.83008239  
2435.56519083769  1506104.46082419  
2436.49804971662  1593997.48059507  
2437.43090159127  2220465.04172923  
2438.36376383242  1897843.7356409  
2439.29661493962  1478400.9357459  
2440.22947611032  1678107.16424914  
2441.16232933143  2317890.80436114  
2442.09518635863  2414520.30670142  
2443.02804444708  1934209.00107802  
2443.96089709849  1421965.76814579  
2444.89375858827  1728561.41274565  
2445.82661039592  1522537.64015252  
2446.75947092071  1601111.29267076  
2447.69232475951  1227118.09317441  
2448.62518116902  1385036.58889841  
2449.55803990662  1447783.83518402  
2450.49089187664  1267456.97322082  
2451.42375406995  1075204.36409272  
2452.35660512638  1051505.63798706  
2453.28946642788  1135860.27897032  
2454.22231949081  1066097.01520579  
2455.15517668556  1428720.79163896  
2456.08803462777  1134669.98561626  
2457.02088743741  1353341.02528856  
2457.95374874765  1618150.71661031  
2458.88660066083  1038660.52757391  
2459.81946114813  1366104.7386783  
2460.75231586661  1039163.44781741  
2461.68517315757  1078806.25870371  
2462.61803101979  726827.273718605  
2463.55088385576  1160341.77836928  
2464.48374514051  1503163.81130422  
2465.41659705285  1341329.74640537  
2466.34945756654  1132446.83753906  
2467.28231145544  1487407.38803991  
2468.21516780721  1605214.83609964  
2469.14802575025  1300176.31636757  
2470.08087936477  1401056.35801212  
2471.01373986998  1680975.95920115  
2471.94659258729  1566235.13122811  
2472.87945232338  744204.791514219  
2473.81230693707  1973922.1578379  
2474.74516256405  1676843.54312252  
2475.6780212847  2051460.01991995  
2476.61087406801  1513207.52293146  
2477.54373545881  1781760.71783657  
2478.47658721056  1213538.87969141  
2479.40944793781  1007307.72355295  
2480.34230156112  1451443.52560385  
2481.27515817848  1791856.38795378  
2482.20801590796  1248763.76041302  
2483.14086973604  542518.458646575  
2484.07373002926  766149.133273212  
2485.0065828522  1293178.39051783  
2485.93944339143  1701330.90860983  
2486.87229806113  1329177.20892738  
2487.80515454328  734555.793367146  
2488.73801235358  957941.760215517  
2489.67086610084  800756.869055205  
2490.60372647567  677311.260017064  
2491.53657923857  942892.233351566  
2492.46943895791  1345669.29779036  
2493.40229363666  1698886.36890238  
2494.33514920622  1777537.23062146  
2495.26800794163  2683122.42109654  
2496.20086075049  1632904.1364048  
2497.1337220645  2402550.41327752  
2498.06657386189  1884171.66156999  
2498.99943457228  2174121.23892568  
2499.93228826076  2620094.01557749  
2500.8651448206  1153931.56976483  
2501.79800259761  1557919.22893396  
2502.7308563322  1849374.51563731  
2503.66371676722  2027123.60793878  
2504.59656937131  2336986.14904199  
2505.52942932907  1376161.95471198  
2506.46228374244  823419.708706215  
2507.39513958717  944413.49159953  
2508.32799806872  2005593.45963204  
2509.26085114259  2101119.75658106  
2510.1937121953  1857854.13540266  
2511.12656415537  1306098.93879057  
2512.05942560411  1448260.15374949  
2512.99228011782  1469285.34279232  
2513.92513589838  979216.64459692  
2514.85799440714  1071152.14372753  
2515.79084745374  796468.62597111  
2516.72370853457  937976.42090249  
2517.6565604402  897875.163594991  
2518.58942036095  1096771.44344458  
2519.52227565305  863440.823159955  
2520.45513060163  1538351.24076991  
2521.38798994159  1219412.248264  
2522.32084215918  1019612.1246655  
2523.2537040676  808469.792409413  
2524.18655517066  684951.457277358  
2525.11941586818  1060151.98768811  
2526.0522703843  1289996.98226393  
2526.98512610885  1024609.28660677  
2527.91798467205  857452.570691289  
2528.85083766641  530294.560970432  
2529.78369885244  923056.924670804  
2530.71655059791  1573703.90407575  
2531.64941067862  1551881.59683902  
2532.58226581233  1285097.69060525  
2533.51512091929  1220738.65176695  
2534.44798015289  1471263.05030787  
2535.38083247685  1128470.13920058  
2536.31369428047  1222321.43549561  
2537.24654538197  1459057.13493397  
2538.17940698983  1371953.46002334  
2539.11226215154  1254370.16646847  
2540.0451172841  1734251.97071949  
2540.97797643772  1124093.20800398  
2541.91082884166  1314390.25154134  
2542.84369056609  1907474.54380809  
2543.7765417204  1685014.01110598  
2544.70940249706  1427222.39600582  
2545.64225692351  1400136.79383893  
2546.5751127506  1332545.82060975  
2547.50797122178  1655768.38545295  
2548.44082429529  1183399.09214521  
2549.37368535093  986448.792899275  
2550.30653719606  1600764.11528256  
2551.23939725908  2181153.22792059  
2552.17225240519  2916938.52545112  
2553.10510750739  1489802.65068006  
2554.03796673576  3433110.17521981  
2554.97081901899  1883502.25371264  
2555.90368091165  2522787.75901994  
2556.83653184748  1928381.02779392  
2557.76939287345  2366178.39340298  
2558.7022470293  2262540.09764021  
2559.63510216468  2994489.80167699  
