# Thu Nov 15 11:34:36 2012
# HST/COS EUV+FUV AGN composite spectrum.
# Figure 5 from Shull, Stevans, and Danforth 2012.
 
# wave         flux        spline
# [Angstroms]  [Relative]  [Relative]
550.050      1.4904      1.5307
550.150      1.3596      1.5340
550.250      0.9072      1.5375
550.350      0.8216      1.5412
550.450      1.1661      1.5451
550.550      1.5483      1.5491
550.650      1.5772      1.5533
550.750      1.4860      1.5575
550.850      1.4316      1.5619
550.950      1.4453      1.5664
551.050      1.3541      1.5710
551.150      1.3153      1.5756
551.250      1.3802      1.5803
551.350      1.4508      1.5851
551.450      1.3247      1.5898
551.550      1.0360      1.5946
551.650      0.8104      1.5993
551.750      0.7625      1.6041
551.850      1.3210      1.6088
551.950      1.5623      1.6134
552.050      1.5815      1.6180
552.150      1.6034      1.6225
552.250      1.5894      1.6270
552.350      1.6293      1.6313
552.450      1.5641      1.6356
552.550      1.6351      1.6397
552.650      1.5637      1.6437
552.750      1.5333      1.6762
552.850      1.6762      1.7925
552.950      1.8158      1.7947
553.050      1.5532      1.7968
553.150      1.7377      1.7988
553.250      1.8089      1.8007
553.350      1.8103      1.8025
553.450      1.7780      1.8041
553.550      1.7656      1.8056
553.650      1.8652      1.8070
553.750      1.9314      1.8083
553.850      1.9267      1.8095
553.950      1.8151      1.8105
554.050      1.8248      1.8115
554.150      1.7915      1.8123
554.250      1.6638      1.8130
554.350      1.6914      1.8136
554.450      1.6675      1.8141
554.550      1.3822      1.8145
554.650      1.5899      1.8148
554.750      1.8068      1.8150
554.850      1.4186      1.8151
554.950      1.3484      1.5562
555.050      1.4075      1.7832
555.150      1.4434      1.7835
555.250      1.7039      1.7837
555.350      1.7994      1.7838
555.450      1.6625      1.7840
555.550      1.7451      1.7841
555.650      1.8088      1.7841
555.750      1.7351      1.7970
555.850      1.8123      1.7970
555.950      1.7491      1.7971
556.050      1.8128      1.7972
556.150      1.7180      1.7972
556.250      1.4994      1.7973
556.350      1.1028      1.7975
556.450      1.0331      1.7976
556.550      1.3666      1.7978
556.650      1.4878      1.7980
556.750      1.3637      1.7983
556.850      1.3214      1.7986
556.950      1.5786      1.7990
557.050      1.6170      1.7995
557.150      1.5223      1.8000
557.250      1.5889      1.8007
557.350      1.5541      1.8014
557.450      1.4549      1.8022
557.550      1.4016      1.8031
557.650      1.2582      1.8041
557.750      1.4304      1.8051
557.850      1.5892      1.8062
557.950      1.8079      1.8075
558.050      1.7637      1.8087
